CityID,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
1259385,Port Blair,0,IN,1538240719,100,11.67,92.75,83.62,3.18
4501427,Port Elizabeth,1,US,1538240100,51,39.31,-74.98,74.5,8.05
1587923,Bien Hoa,40,VN,1538238600,94,10.95,106.82,80.6,1.12
3526756,Isla Mujeres,75,MX,1538235660,70,21.23,-86.73,86,11.41
3450083,Santa Maria,20,BR,1538236800,46,-29.69,-53.81,91.4,12.75
3696183,Iquitos,40,PE,1538236800,319,-3.75,-73.25,42.8,2.24
2439155,Tanout,64,NE,1538240720,23,14.97,8.88,94.6,6.31
110690,Faya,20,SA,1538236800,20,18.39,42.45,74.34,12.75
2063042,Port Hedland,40,AU,1538238600,73,-20.31,118.58,73.4,12.75
2127060,Arman,40,RU,1538236800,65,59.7,150.17,41,8.95
3374083,Bathsheba,20,BB,1538236800,70,13.22,-59.52,86,20.8
1803886,Lianran,90,CN,1538236800,100,24.92,102.47,57.2,2.84
352628,Matay,12,EG,1538240722,40,28.42,30.79,81.37,6.08
2360073,Hounde,12,BF,1538240722,82,11.5,-3.52,83.44,4.74
3346821,Ondjiva,48,AO,1538240722,17,-17.07,15.73,88.48,9.55
1250161,Batticaloa,80,LK,1538240722,100,7.71,81.69,76.78,3.74
4011743,Constitucion,90,MX,1538236080,88,23.99,-104.67,62.6,3.36
3412093,Vestmannaeyjar,20,IS,1538240400,87,63.44,-20.27,42.8,13.87
2122090,Pevek,92,RU,1538240723,100,69.7,170.27,39.79,7.87
3570675,Fort-de-France,40,MQ,1538238600,58,14.61,-61.07,86.61,14.99
1524606,Derzhavinsk,0,KZ,1538240723,57,51.1,66.31,47.62,9.66
1688687,San Quintin,48,PH,1538240724,88,17.54,120.52,69.31,3.18
6113406,Prince Rupert,1,CA,1538236800,46,54.32,-130.32,53.6,5.82
650705,Kalevala,20,FI,1538240728,92,64.12,29.58,38.17,8.99
2160063,Codrington,92,AU,1538240626,96,-28.95,153.24,59.23,3.74
